Время (миллисекунды);элементы
0,00034;0
0,000248;114
0,00021;126
0,000222;319
0,000204;704
0,000301;280
0,00026;522
0,000252;298
0,00023;494
0,000266;834
0,000273;1015
0,000235;135
0,000267;346
0,000233;213
0,000227;111
0,000245;144
0,000249;480
0,00025;429
0,00021;503
0,000242;423
0,000228;494
0,000246;335
0,000209;162
0,000262;68
0,000232;622
0,000246;933
0,000249;87
0,00019;553
0,000238;520
0,000208;327
0,000282;133
0,000276;732
0,000215;466
0,000203;54
0,000301;469
0,00028;727
0,000236;447
0,000287;527
0,000237;529
0,000327;620
0,000165;264
0,000293;572
0,000259;192
0,000432;272
0,000346;619
0,000289;790
0,000378;442
0,000276;456
0,000315;303
0,000383;241
0,000317;797
0,000223;185
0,000245;457
0,000369;363
0,000294;464
0,000299;241
0,00026;588
0,000292;234
0,000318;229
0,000244;176
0,000229;58
0,000326;509
0,000385;499
0,000257;738
0,000311;228
0,000222;152
0,000244;181
0,000229;454
0,000206;338
0,000221;215
0,000284;165
0,000257;470
0,000191;338
0,000278;236
0,000196;403
0,000239;435
0,000208;941
0,000222;296
0,000224;749
0,000225;444
0,000165;142
0,000193;73
0,000219;139
0,000204;151
0,000141;165
0,000228;382
0,000246;498
0,000169;129
0,000174;918
0,000155;162
0,000191;442
0,000198;203
0,00024;124
0,000248;303
0,00015;524
0,00019;432
0,000198;403
0,00022;336
0,000184;246
0,000197;212
0,000219;333
0,000144;745
0,000189;559
0,000198;482
0,00094;298
0,000348;142
0,00023;815
0,000206;289
0,000221;528
0,000204;405
0,000161;718
0,000212;502
0,000182;589
0,000156;556
0,000191;205
0,000178;775
0,000156;270
0,000211;556
0,000562;219
0,000252;102
0,00019;465
0,000198;234
0,00016;121
0,000192;166
0,000118;248
0,000184;664
0,000137;415
0,000147;352
0,000149;660
0,00017;124
0,000154;262
0,000191;189
0,000198;729
0,0002;366
0,00022;393
0,000204;827
0,000201;488
0,00018;419
0,000176;438
0,000195;300
0,000199;248
0,0002;370
0,00012;169
0,000144;307
0,000189;630
0,000218;257
0,000184;96
0,000257;1045
0,000211;839
0,000222;272
0,000184;577
0,000177;651
0,000155;856
0,000111;188
0,000202;171
0,00016;320
0,000172;686
0,000214;536
0,000303;401
0,000221;412
0,000224;310
0,000185;390
0,000217;231
0,000303;282
0,000201;251
0,0002;403
0,00016;112
0,000172;458
0,000194;208
0,000159;396
0,000192;430
0,000178;252
0,000176;166
0,000135;146
0,000167;35
0,000113;239
0,000143;797
0,000129;369
0,000126;226
0,000165;178
0,000213;279
0,000283;403
0,000197;606
0,000159;154
0,000172;284
0,000174;773
0,000155;164
0,000211;34
0,000162;193
0,000152;688
0,00019;783
0,000178;250
0,000156;80
0,000191;172
0,000198;130
0,00016;402
0,000132;141
0,000186;282
0,000237;818
0,000187;678
0,000177;550
0,000195;504
0,000139;752
0,000188;538
0,000158;772
0,000152;552
0,00017;694
0,000194;537
0,000159;450
0,000132;484
0,000146;196
0,000209;570
0,000182;187
0,000196;211
0,000199;367
0,00018;735
0,000136;221
0,000267;227
0,000233;250
0,000207;269
0,000241;603
0,000228;409
0,000206;349
0,000161;279
0,000232;112
0,000386;617
0,000217;338
0,000183;475
0,000217;428
0,000163;122
0,000173;806
0,000255;511
0,000171;633
0,000114;319
0,000123;182
0,000185;163
0,000177;514
0,000155;89
0,000171;458
0,000194;452
0,000159;377
0,000132;336
0,000166;217
0,000213;133
0,000203;630
0,000181;116
0,000136;543
0,000127;159
0,000125;103
0,000145;267
0,000269;401
0,000314;421
0,000243;602
0,000249;580
0,00021;290
0,000222;156
0,000184;600
0,000237;176
0,000227;313
0,000185;155
0,000177;109
0,000175;188
0,000175;409
0,000255;523
0,000231;166
0,000206;384
0,000221;539
0,000184;165
0,000177;259
0,000175;388
0,000235;717
0,000207;505
0,000161;209
0,000212;363
0,000222;576
0,000244;362
0,000209;362
0,000202;322
0,00018;632
0,000196;744
0,000339;315
0,000268;170
0,000194;427
0,000239;621
0,000188;1036
0,000278;499
0,000196;630
0,000259;494
0,000332;301
0,000206;939
0,000181;790
0,000176;174
0,000195;1079
0,000179;435
0,000156;37
0,000211;512
0,000162;305
0,000192;626
0,000198;360
0,0002;471
0,00016;92
0,000232;366
0,000186;702
0,000177;194
0,000175;99
0,000175;78
0,000155;166
0,000151;261
0,00021;530
0,000182;266
0,000176;632
0,000195;14
0,000219;414
0,000204;309
0,000221;438
0,000204;674
0,000201;417
0,0002;159
0,00024;305
0,000188;649
0,000138;758
0,000168;510
0,000334;172
0,000247;99
0,000209;913
0,000202;448
0,00022;578
0,000304;335
0,000221;296
0,000184;454
0,000197;161
0,000159;356
